DATE,IPG2211A2N
1/1/1985,72.5052
2/1/1985,70.672
3/1/1985,62.4502
4/1/1985,57.4714
5/1/1985,55.3151
6/1/1985,58.0904
7/1/1985,62.6202
8/1/1985,63.2485
9/1/1985,60.5846
10/1/1985,56.3154
11/1/1985,58.0005
12/1/1985,68.7145
1/1/1986,73.3057
2/1/1986,67.9869
3/1/1986,62.2221
4/1/1986,57.0329
5/1/1986,55.8137
6/1/1986,59.9005
7/1/1986,65.7655
8/1/1986,64.4816
9/1/1986,61.0005
10/1/1986,57.5322
11/1/1986,59.3417
12/1/1986,68.1354
1/1/1987,73.8152
2/1/1987,70.062
3/1/1987,65.61
4/1/1987,60.1586
5/1/1987,58.8734
6/1/1987,63.8918
7/1/1987,68.8694
8/1/1987,70.0669
9/1/1987,64.1151
10/1/1987,60.3789
11/1/1987,62.4643
12/1/1987,70.5777
1/1/1988,79.8703
2/1/1988,76.1622
3/1/1988,70.2928
4/1/1988,63.2384
5/1/1988,61.4065
6/1/1988,67.1097
7/1/1988,72.9816
8/1/1988,75.7655
9/1/1988,67.5152
10/1/1988,63.2832
11/1/1988,65.1078
12/1/1988,73.8631
1/1/1989,77.9188
2/1/1989,76.6822
3/1/1989,73.3523
4/1/1989,65.1081
5/1/1989,63.6892
6/1/1989,68.4722
7/1/1989,74.0301
8/1/1989,75.0448
9/1/1989,69.3053
10/1/1989,65.8735
11/1/1989,69.0706
12/1/1989,84.1949
1/1/1990,84.3598
2/1/1990,77.1726
3/1/1990,73.1964
4/1/1990,67.2781
5/1/1990,65.8218
6/1/1990,71.4654
7/1/1990,76.614
8/1/1990,77.1052
9/1/1990,73.061
10/1/1990,67.4365
11/1/1990,68.5665
12/1/1990,77.6839
1/1/1991,86.0214
2/1/1991,77.5573
3/1/1991,73.365
4/1/1991,67.15
5/1/1991,68.8162
6/1/1991,74.8448
7/1/1991,80.0928
8/1/1991,79.1606
9/1/1991,73.5743
10/1/1991,68.7538
11/1/1991,72.5166
12/1/1991,79.4894
1/1/1992,85.2855
2/1/1992,80.1643
3/1/1992,74.5275
4/1/1992,69.6441
5/1/1992,67.1784
6/1/1992,71.2078
7/1/1992,77.5081
8/1/1992,76.5374
9/1/1992,72.3541
10/1/1992,69.0286
11/1/1992,73.4992
12/1/1992,84.5159
1/1/1993,87.9464
2/1/1993,84.5561
3/1/1993,79.4747
4/1/1993,71.0578
5/1/1993,67.6762
6/1/1993,74.3297
7/1/1993,82.1048
8/1/1993,82.0605
9/1/1993,74.6031
10/1/1993,69.681
11/1/1993,74.4292
12/1/1993,84.2284
1/1/1994,94.1386
2/1/1994,87.1607
3/1/1994,79.2456
4/1/1994,70.9749
5/1/1994,69.3844
6/1/1994,77.9831
7/1/1994,83.277
8/1/1994,81.8872
9/1/1994,75.6826
10/1/1994,71.2661
11/1/1994,75.2458
12/1/1994,84.8147
1/1/1995,92.4532
